helps,ball,strike,Tulowitzki,24,1.6
helps,strike,ball,Cecil,20,2.1
hurts,strike,ball,Bautista,20,1.9
helps,strike,ball,Osuna,22,1.6
hurts,strike,ball,Martin,24,1.4
hurts,strike,ball,Pillar,20,1.6
hurts,strike,ball,Saunders,6,3.4
helps,strike,ball,Sanchez,24,1.4
hurts,strike,ball,Encarnacion,14,2.6
helps,ball,strike,Encarnacion,12,3.1
helps,ball,strike,Upton,4,4.9
hurts,strike,ball,Bautista,16,1.9
hurts,strike,ball,Saunders,14,2.4
hurts,ball,strike,Stroman,6,3.4
helps,ball,strike,Encarnacion,22,1.6
hurts,strike,ball,Encarnacion,34,0.9
hurts,strike,ball,Bautista,22,1.6
hurts,ball,strike,Happ,14,3.1
hurts,ball,strike,Estrada,2,5.6
hurts,strike,ball,Bautista,4,3.9
hurts,strike,ball,Saunders,18,2.1
hurts,strike,ball,Encarnacion,12,2.6
helps,ball,strike,Encarnacion,24,1.9
helps,ball,strike,Donaldson,12,2.6
helps,strike,ball,Osuna,8,2.9
helps,ball,strike,Barney,6,3.9
helps,ball,strike,Tulowitzki,40,0.6
helps,strike,ball,Biagini,20,2.1
helps,ball,strike,Saunders,2,5.6
hurts,ball,strike,Sanchez,20,1.9
helps,strike,ball,Osuna,16,2.4
helps,ball,strike,Pillar,10,2.9
helps,ball,strike,Saunders,24,1.9
helps,ball,strike,Martin,34,0.9
hurts,strike,ball,Tulowitzki,10,2.9
helps,ball,strike,Barney,16,2.1
helps,strike,ball,Happ,14,2.4
hurts,strike,ball,Encarnacion,16,1.9
helps,ball,strike,Encarnacion,20,2.1
helps,strike,ball,Happ,28,1.9
hurts,ball,strike,Happ,8,3.1
helps,ball,strike,Martin,24,1.4
helps,ball,strike,Carrera,12,2.6
helps,ball,strike,Bautista,22,1.9
helps,ball,strike,Bautista,6,4.4
helps,strike,ball,Estrada,14,2.4
helps,ball,strike,Martin,18,1.9
helps,strike,ball,Osuna,16,2.1
helps,ball,strike,Donaldson,10,2.9
helps,strike,ball,Stroman,22,1.6
helps,ball,strike,Martin,8,3.6
helps,ball,strike,Bautista,12,2.9
helps,ball,strike,Pillar,8,3.1
hurts,strike,ball,Saunders,6,3.4
helps,strike,ball,Biagini,14,2.6
hurts,strike,ball,Pillar,14,2.4
helps,strike,ball,Sanchez,14,2.1
hurts,strike,ball,Carrera,20,2.1
hurts,ball,strike,Sanchez,20,1.9
hurts,strike,ball,Martin,28,1.1
hurts,strike,ball,Martin,12,2.1
hurts,strike,ball,Tulowitzki,24,1.4
hurts,strike,ball,Saunders,8,3.4
hurts,strike,ball,Bautista,8,2.9
hurts,strike,ball,Upton,18,1.9
helps,ball,strike,Tulowitzki,34,0.9
helps,ball,strike,Bautista,24,1.6
hurts,strike,ball,Smoak,38,0.9
hurts,ball,strike,Estrada,36,0.9
hurts,strike,ball,Tulowitzki,10,2.6
hurts,ball,strike,Estrada,26,1.4
hurts,strike,ball,Encarnacion,22,1.6
helps,strike,ball,Stroman,20,2.9
hurts,ball,strike,Stroman,10,2.9
hurts,strike,ball,Carrera,36,0.6
hurts,strike,ball,Carrera,12,2.6
hurts,strike,ball,Pillar,12,2.4
hurts,strike,ball,Bautista,14,2.4
helps,strike,ball,Stroman,8,2.9
hurts,ball,strike,Stroman,14,2.4
hurts,strike,ball,Pillar,12,2.1
helps,ball,strike,Tulowitzki,14,2.4
helps,ball,strike,Donaldson,26,1.6
hurts,strike,ball,Upton,22,2.1
helps,ball,strike,Tulowitzki,20,1.9
helps,ball,strike,Encarnacion,18,2.4
hurts,strike,ball,Bautista,22,1.9
helps,strike,ball,Liriano,8,2.9
helps,strike,ball,Liriano,18,2.4
helps,ball,strike,Bautista,8,3.6
helps,ball,strike,Tulowitzki,24,1.6
helps,strike,ball,Sanchez,12,2.6
helps,strike,ball,Sanchez,14,2.1
helps,strike,ball,Sanchez,4,4.1
hurts,strike,ball,Encarnacion,24,1.6
helps,strike,ball,Sanchez,14,2.4
hurts,strike,ball,Pillar,10,2.4
helps,ball,strike,Tulowitzki,36,0.9
helps,ball,strike,Martin,20,1.9
hurts,ball,strike,Osuna,38,0.9
hurts,strike,ball,Martin,12,2.4
helps,strike,ball,Benoit,14,2.4
helps,ball,strike,Pillar,18,1.9
helps,strike,ball,Estrada,22,1.6
helps,strike,ball,Estrada,22,1.9
helps,ball,strike,Bautista,20,2.4
hurts,ball,strike,Estrada,22,1.9
helps,ball,strike,Bautista,26,1.4
hurts,ball,strike,Grilli,4,4.9
hurts,ball,strike,Stroman,14,2.1
helps,strike,ball,Stroman,24,1.4
helps,ball,strike,Navarro,40,0.4
hurts,strike,ball,Martin,32,0.9
helps,ball,strike,Martin,8,2.9
helps,ball,strike,Carrera,22,1.9
helps,ball,strike,Upton,2,6.6
helps,ball,strike,Pillar,24,1.6
helps,ball,strike,Pillar,20,2.1
hurts,ball,strike,Liriano,2,5.4
hurts,strike,ball,Saunders,2,4.6
helps,ball,strike,Martin,24,1.4
helps,ball,strike,Donaldson,0,9.6
helps,ball,strike,Martin,10,3.1
helps,strike,ball,Feldman,32,1.4
hurts,strike,ball,Venditte,18,2.4
helps,strike,ball,Cecil,14,2.6
hurts,strike,ball,Martin,14,2.4
hurts,strike,ball,Donaldson,20,1.9
hurts,ball,strike,Loup,2,5.9
helps,ball,strike,Donaldson,2,4.6
helps,strike,ball,Estrada,26,1.4
hurts,strike,ball,Storen,14,2.4
hurts,strike,ball,Storen,14,2.4
hurts,ball,strike,Estrada,12,2.6
hurts,strike,ball,Upton,34,1.1
helps,ball,strike,Bautista,40,0.4
hurts,strike,ball,Bautista,30,1.1
helps,ball,strike,Bautista,24,1.4
helps,strike,ball,Estrada,22,1.9
helps,ball,strike,Martin,12,2.6
hurts,strike,ball,Bautista,10,2.9
helps,ball,strike,Donaldson,40,0.6
hurts,strike,ball,Travis,8,3.1
hurts,ball,strike,Liriano,16,2.1
hurts,strike,ball,Saunders,4,3.4
helps,ball,strike,Saunders,14,2.4
helps,strike,ball,Liriano,6,3.1
hurts,strike,ball,Bautista,22,1.6
helps,ball,strike,Smoak,12,2.9
hurts,strike,ball,Encarnacion,14,2.4
helps,ball,strike,Saunders,32,0.9
hurts,ball,strike,Osuna,32,1.1
helps,strike,ball,Benoit,2,4.1
helps,ball,strike,Pillar,20,1.9
helps,strike,ball,Dickey,10,2.6
helps,ball,strike,Bautista,22,1.9
helps,strike,ball,Dickey,22,1.6
helps,strike,ball,Dickey,8,3.6
hurts,strike,ball,Donaldson,36,0.9
hurts,strike,ball,Saunders,16,1.9
hurts,strike,ball,Saunders,10,2.6
hurts,strike,ball,Tulowitzki,22,1.6
hurts,strike,ball,Encarnacion,18,2.1
helps,strike,ball,Happ,2,4.4
hurts,strike,ball,Donaldson,28,1.4
helps,ball,strike,Martin,14,3.6
hurts,strike,ball,Bautista,34,0.9
hurts,ball,strike,Happ,40,0.6
hurts,ball,strike,Loup,6,3.6
helps,ball,strike,Bautista,6,3.9
hurts,ball,strike,Biagini,18,2.4
helps,strike,ball,Stroman,22,1.9
helps,ball,strike,Upton,20,1.9
helps,ball,strike,Martin,34,1.1
helps,ball,strike,Travis,18,1.9
hurts,ball,strike,Benoit,34,0.9
hurts,strike,ball,Travis,2,4.6
hurts,strike,ball,Pillar,2,4.6
hurts,strike,ball,Encarnacion,18,1.9
helps,ball,strike,Upton,24,1.6
helps,ball,strike,Martin,16,2.1
hurts,ball,strike,Happ,8,3.6
helps,ball,strike,Travis,40,0.6
hurts,strike,ball,Navarro,2,4.9
helps,ball,strike,Bautista,2,5.1
hurts,ball,strike,Dermody,4,5.6
hurts,ball,strike,Tepera,6,3.4
hurts,strike,ball,Encarnacion,22,1.4
hurts,strike,ball,Tulowitzki,24,1.9
hurts,strike,ball,Bautista,10,2.9
helps,ball,strike,Travis,14,2.4
helps,strike,ball,Stroman,6,3.4
hurts,strike,ball,Tulowitzki,18,2.4
helps,ball,strike,Martin,26,1.9
helps,ball,strike,Donaldson,24,1.6
helps,ball,strike,Navarro,16,2.6
helps,ball,strike,Martin,22,1.9
helps,strike,ball,Grilli,36,0.9
helps,ball,strike,Donaldson,22,1.6
helps,ball,strike,Smoak,24,1.4
hurts,ball,strike,Sanchez,36,0.6
hurts,strike,ball,Travis,24,1.4
helps,ball,strike,Navarro,34,1.1
hurts,ball,strike,Benoit,24,1.9
helps,ball,strike,Martin,18,2.9
hurts,ball,strike,Dickey,18,1.9
helps,ball,strike,Donaldson,20,2.4
helps,strike,ball,Barnes,30,1.1
hurts,ball,strike,Happ,24,1.6
helps,ball,strike,Encarnacion,20,2.1
helps,ball,strike,Encarnacion,4,6.1
helps,strike,ball,Happ,28,1.4
hurts,ball,strike,Tepera,38,0.6
hurts,ball,strike,Biagini,24,1.6
hurts,ball,strike,Cecil,2,5.4
helps,ball,strike,Encarnacion,30,1.4
hurts,strike,ball,Donaldson,16,2.4
hurts,ball,strike,Stroman,14,2.4
hurts,ball,strike,Feldman,36,0.9
hurts,ball,strike,Benoit,32,1.1
helps,ball,strike,Pillar,14,2.4
helps,strike,ball,Sanchez,12,2.6
helps,strike,ball,Sanchez,16,2.1
helps,strike,ball,Sanchez,8,3.1
helps,strike,ball,Happ,36,0.6
helps,strike,ball,Happ,22,1.6
hurts,strike,ball,Encarnacion,22,1.6
hurts,ball,strike,Benoit,26,1.9
helps,ball,strike,Travis,14,2.4
helps,ball,strike,Encarnacion,4,5.1
helps,strike,ball,Estrada,18,1.9
hurts,strike,ball,Encarnacion,28,1.1
hurts,strike,ball,Encarnacion,0,13.1
hurts,strike,ball,Bautista,8,3.1
helps,strike,ball,Osuna,18,2.1
helps,strike,ball,Osuna,8,3.1
helps,ball,strike,Encarnacion,16,2.1
helps,strike,ball,Grilli,22,1.9
helps,ball,strike,Martin,34,1.1
helps,ball,strike,Encarnacion,16,2.6
hurts,ball,strike,Feldman,24,1.4
helps,ball,strike,Thole,0,5.4
helps,strike,ball,Dickey,18,1.9
helps,strike,ball,Dickey,24,1.4
helps,strike,ball,Dickey,22,1.4
helps,strike,ball,Schultz,36,0.6
helps,strike,ball,Schultz,32,0.9
hurts,ball,strike,Stroman,32,1.1
helps,ball,strike,Tulowitzki,18,1.9
helps,strike,ball,Benoit,8,3.9
helps,ball,strike,Bautista,14,2.6
helps,strike,ball,Liriano,20,1.6
helps,ball,strike,Martin,20,1.9
hurts,strike,ball,Carrera,38,0.6
hurts,ball,strike,Happ,20,1.9
hurts,strike,ball,Encarnacion,28,2.1
hurts,strike,ball,Donaldson,14,2.9
helps,strike,ball,Happ,28,1.6
helps,strike,ball,Happ,24,1.4
helps,strike,ball,Loup,16,2.6
helps,strike,ball,Loup,20,1.6
helps,ball,strike,Martin,20,1.9
helps,strike,ball,Estrada,18,1.6
helps,ball,strike,Thole,22,1.9
helps,ball,strike,Tulowitzki,6,3.9
helps,strike,ball,Biagini,6,3.4
helps,strike,ball,Dickey,24,1.4
helps,strike,ball,Dickey,22,1.4
hurts,strike,ball,Encarnacion,18,1.9
hurts,ball,strike,Dickey,24,1.6
helps,ball,strike,Goins,30,1.4
hurts,strike,ball,Donaldson,2,5.4
hurts,strike,ball,Goins,24,1.9
hurts,strike,ball,Tulowitzki,4,4.6
hurts,ball,strike,Stroman,36,0.6
helps,strike,ball,Benoit,6,3.4
hurts,strike,ball,Carrera,22,2.1
helps,ball,strike,Travis,6,3.1
hurts,strike,ball,Upton,2,4.4
helps,ball,strike,Martin,4,3.9
helps,strike,ball,Liriano,16,2.1
hurts,strike,ball,Carrera,20,2.1
helps,ball,strike,Martin,38,0.9
helps,strike,ball,Happ,10,3.1
helps,strike,ball,Happ,10,2.9
hurts,ball,strike,Happ,20,2.1
hurts,ball,strike,Happ,24,1.6
hurts,strike,ball,Encarnacion,38,0.6
helps,ball,strike,Ceciliani,24,1.4
helps,strike,ball,Feldman,22,1.6
hurts,strike,ball,Ceciliani,24,1.4
hurts,strike,ball,Martin,12,2.4
hurts,strike,ball,Ceciliani,26,1.4
helps,strike,ball,Estrada,24,1.4
helps,ball,strike,Travis,22,1.9
helps,ball,strike,Ceciliani,0,9.4
helps,strike,ball,Stroman,12,2.6
helps,strike,ball,Stroman,32,1.1
helps,ball,strike,Martin,16,2.1
helps,strike,ball,Osuna,24,1.6
hurts,strike,ball,Tulowitzki,24,1.4
hurts,ball,strike,Sanchez,32,1.1
hurts,strike,ball,Tulowitzki,8,3.1
helps,strike,ball,Sanchez,18,2.1
hurts,strike,ball,Saunders,4,3.4
helps,ball,strike,Encarnacion,38,0.6
hurts,ball,strike,Liriano,16,2.1
hurts,strike,ball,Martin,4,3.4
helps,strike,ball,Grilli,14,2.4
hurts,ball,strike,Grilli,24,1.6
hurts,strike,ball,Travis,20,1.9
hurts,ball,strike,Happ,16,2.1
hurts,strike,ball,Encarnacion,2,4.1
helps,ball,strike,Travis,12,2.9
hurts,ball,strike,Happ,24,1.9
helps,strike,ball,Cecil,6,3.1
helps,ball,strike,Travis,34,0.9
hurts,ball,strike,Dickey,18,2.6
hurts,ball,strike,Dickey,36,0.9
helps,strike,ball,Dickey,12,2.1
helps,strike,ball,Dickey,0,6.6
hurts,ball,strike,Feldman,2,5.1
hurts,ball,strike,Feldman,18,1.9
helps,strike,ball,Stroman,6,3.4
hurts,strike,ball,Tulowitzki,6,3.6
hurts,strike,ball,Tulowitzki,36,0.9
hurts,strike,ball,Saunders,34,0.6
hurts,strike,ball,Upton,36,0.9
helps,ball,strike,Tulowitzki,22,2.1
hurts,ball,strike,Barnes,6,4.1
hurts,ball,strike,Sanchez,10,3.4
helps,ball,strike,Encarnacion,2,7.9
hurts,ball,strike,Benoit,0,10.6
helps,ball,strike,Donaldson,6,5.4
helps,ball,strike,Upton,18,2.1
helps,strike,ball,Liriano,24,1.4
helps,strike,ball,Osuna,20,1.6
helps,strike,ball,Osuna,6,3.1
hurts,ball,strike,Grilli,24,1.6
hurts,ball,strike,Benoit,16,2.4
helps,ball,strike,Smoak,4,4.9
hurts,strike,ball,Bautista,26,1.1
helps,ball,strike,Travis,34,0.9
helps,strike,ball,Happ,2,4.4
hurts,strike,ball,Tulowitzki,12,2.6
helps,strike,ball,Biagini,18,2.6
helps,strike,ball,Estrada,20,1.6
hurts,strike,ball,Bautista,2,3.9
helps,strike,ball,Estrada,24,1.6
hurts,ball,strike,Estrada,26,1.4
hurts,strike,ball,Saunders,28,1.1
helps,ball,strike,Saunders,18,2.4
helps,strike,ball,Estrada,24,1.6
helps,strike,ball,Dickey,12,2.6
hurts,strike,ball,Pillar,10,2.9
hurts,strike,ball,Saunders,38,0.6
helps,strike,ball,Dickey,4,3.4
helps,strike,ball,Stroman,4,3.4
hurts,strike,ball,Encarnacion,14,2.4
helps,strike,ball,Stroman,38,0.6
hurts,strike,ball,Saunders,12,2.9
hurts,strike,ball,Travis,28,1.1
hurts,ball,strike,Stroman,16,2.1
hurts,ball,strike,Stroman,10,2.9
hurts,strike,ball,Travis,22,1.9
helps,strike,ball,Chavez,18,1.6
helps,ball,strike,Martin,16,2.4
helps,ball,strike,Donaldson,36,0.6
hurts,strike,ball,Barney,20,1.9
hurts,strike,ball,Pillar,18,2.6
helps,ball,strike,Martin,34,0.9
helps,ball,strike,Martin,26,1.4
hurts,strike,ball,Bautista,6,3.1
hurts,strike,ball,Saunders,8,2.9
helps,ball,strike,Encarnacion,16,2.4
helps,ball,strike,Donaldson,12,2.6
helps,strike,ball,Happ,24,1.6
hurts,ball,strike,Happ,38,0.9
hurts,strike,ball,Saunders,26,1.1
hurts,strike,ball,Martin,22,1.6
helps,strike,ball,Grilli,4,3.9
helps,strike,ball,Benoit,14,2.4
helps,ball,strike,Martin,26,1.6
helps,ball,strike,Donaldson,34,0.9
helps,ball,strike,Tulowitzki,20,1.9
helps,strike,ball,Estrada,22,2.1
helps,strike,ball,Estrada,34,1.1
helps,strike,ball,Estrada,20,1.6
helps,ball,strike,Barney,20,1.9
hurts,strike,ball,Encarnacion,12,3.1
helps,ball,strike,Encarnacion,8,3.4
hurts,ball,strike,Morales,22,1.9
helps,ball,strike,Donaldson,14,3.4
helps,strike,ball,Biagini,14,2.4
helps,ball,strike,Travis,12,2.6
hurts,strike,ball,Encarnacion,18,2.4
helps,ball,strike,Encarnacion,16,2.4
hurts,strike,ball,Donaldson,30,1.4
helps,ball,strike,Travis,26,1.4
helps,ball,strike,Bautista,18,1.9
hurts,strike,ball,Saunders,20,1.9
helps,strike,ball,Stroman,8,3.1
hurts,strike,ball,Donaldson,4,3.9
hurts,strike,ball,Bautista,32,0.9
helps,strike,ball,Stroman,40,0.4
hurts,ball,strike,Sanchez,24,1.6
helps,strike,ball,Sanchez,32,1.1
helps,strike,ball,Sanchez,22,1.6
hurts,strike,ball,Bautista,20,1.6
hurts,ball,strike,Sanchez,18,2.1
hurts,ball,strike,Sanchez,8,3.6
helps,strike,ball,Happ,24,1.6
helps,strike,ball,Happ,14,2.1
helps,ball,strike,Donaldson,24,1.4
helps,strike,ball,Storen,12,2.4
helps,strike,ball,Schultz,8,2.9
hurts,ball,strike,Schultz,6,4.4
helps,strike,ball,Chavez,18,1.9
helps,strike,ball,Dickey,6,3.4
hurts,strike,ball,Travis,14,2.4
hurts,strike,ball,Smoak,4,4.1
hurts,strike,ball,Tulowitzki,16,2.1
hurts,strike,ball,Saunders,0,5.4
hurts,strike,ball,Donaldson,22,1.6
hurts,ball,strike,Biagini,20,2.1
hurts,strike,ball,Donaldson,12,2.6
helps,strike,ball,Estrada,14,2.6
hurts,strike,ball,Donaldson,18,2.1
helps,ball,strike,Thole,10,3.1
hurts,ball,strike,Estrada,18,2.1
hurts,ball,strike,Cecil,12,2.9
helps,ball,strike,Encarnacion,22,1.6
hurts,strike,ball,Travis,22,1.6
helps,ball,strike,Travis,24,1.4
hurts,ball,strike,Stroman,10,2.9
hurts,strike,ball,Donaldson,20,1.9
helps,strike,ball,Stroman,8,2.9
helps,ball,strike,Tulowitzki,34,0.9
helps,ball,strike,Donaldson,16,2.1
helps,strike,ball,Sanchez,8,2.9
helps,ball,strike,Pillar,20,2.1
hurts,strike,ball,Encarnacion,20,1.9
helps,ball,strike,Donaldson,20,1.9
hurts,strike,ball,Saunders,36,0.9
hurts,strike,ball,Saunders,10,2.9
helps,strike,ball,Loup,22,1.9
hurts,ball,strike,Loup,0,12.1
hurts,strike,ball,Carrera,32,1.1
helps,ball,strike,Carrera,12,2.9
helps,strike,ball,Stroman,22,1.9
helps,strike,ball,Stroman,10,2.9
helps,ball,strike,Thole,18,2.1
helps,ball,strike,Travis,20,2.1
hurts,ball,strike,Dickey,16,3.1
helps,ball,strike,Pillar,8,3.4
hurts,ball,strike,Dickey,10,2.9
helps,ball,strike,Sanchez,4,3.9
hurts,ball,strike,Sanchez,12,2.6
hurts,ball,strike,Upton,18,2.4
helps,ball,strike,Travis,24,1.6
hurts,ball,strike,Sanchez,40,0.6
helps,strike,ball,Sanchez,6,3.9
helps,ball,strike,Carrera,18,2.4
helps,ball,strike,Carrera,18,2.4
helps,strike,ball,Upton,24,1.9
helps,strike,ball,Happ,12,2.6
hurts,ball,strike,Happ,2,6.6
helps,ball,strike,Encarnacion,2,6.1
helps,ball,strike,Carrera,36,0.9
hurts,strike,ball,Barney,4,3.6
hurts,strike,ball,Carrera,22,1.9
helps,strike,ball,Sanchez,18,2.1
helps,ball,strike,Donaldson,30,1.4
helps,ball,strike,Donaldson,14,2.6
helps,strike,ball,Happ,12,3.1
helps,ball,strike,Encarnacion,6,3.1
helps,ball,strike,Lake,40,0.6
helps,ball,strike,Barney,26,1.4
hurts,ball,strike,Happ,22,1.6
hurts,strike,ball,Donaldson,6,3.6
hurts,strike,ball,Encarnacion,10,2.6
helps,ball,strike,Martin,16,2.1
